DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1703779348.4599745
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\version.py first seen with mtime 1703779349.0155203
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_futures.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\dotenv\variables.py first seen with mtime 1700853665.6497169
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1703779348.876012
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1703779347.1339798
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1703779347.1308835
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1703779347.4498806
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1703779349.0015204
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1703779348.907012
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\defaults.py first seen with mtime 1703779349.0185244
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1703779347.8254123
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\html\parser.py first seen with mtime 1670375370.0
DEBUG 2024-12-01 13:03:52,875 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\options.py first seen with mtime 1703779348.9355204
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1703779349.0015204
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\management\utils.py first seen with mtime 1703779348.8900118
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1703779348.9455209
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\backends\base.py first seen with mtime 1703779348.99052
DEBUG 2024-12-01 13:03:52,876 autoreload File C:\Users\Drew Edgette\AppData\Local\Programs\Python\Python311\Lib\email\_parseaddr.py first seen with mtime 1670375370.0
